(16c8.1268): Access violation - code c0000005 (first chance)
First chance exceptions are reported before any exception handling.
This exception may be expected and handled.
eax=00000008 ebx=00000020 ecx=0c9cd9d8 edx=0031c0d8 esi=00000474 edi=0031c500
eip=0165d52d esp=0031c004 ebp=0031c008 iopl=0         nv up ei pl nz na po nc
cs=001b  ss=0023  ds=0023  es=0023  fs=003b  gs=0000             efl=00010202
*** ERROR: Module load completed but symbols could not be loaded for xnview.exe
xnview+0x35d52d:
0165d52d 894120          mov     dword ptr [ecx+20h],eax ds:0023:0c9cd9f8=????????
0:000> k
ChildEBP RetAddr  
WARNING: Stack unwind information not available. Following frames may be wrong.
0031c008 0162e7e9 xnview+0x35d52d
0031c35c 0162d410 xnview+0x32e7e9
0031c5f4 0162cba0 xnview+0x32d410
0031c608 0155da0e xnview+0x32cba0
0031c624 0155d8a2 xnview+0x25da0e
0031c74c 01561bb5 xnview+0x25d8a2
0031c780 0156199c xnview+0x261bb5
0031c7a8 0143bbcd xnview+0x26199c
0031c908 0143be06 xnview+0x13bbcd
0031cec0 0143c44f xnview+0x13be06
0031d000 75b5c4e7 xnview+0x13c44f
0031d02c 75b75b7c USER32!InternalCallWinProc+0x23
0031d0a8 75b759f3 USER32!UserCallDlgProcCheckWow+0x132
0031d0f0 75b67206 USER32!DefDlgProcWorker+0xa8
0031d10c 75b5c4e7 USER32!DefDlgProcA+0x22
0031d138 75b5c5e7 USER32!InternalCallWinProc+0x23
0031d1b0 75b55294 USER32!UserCallWinProcCheckWow+0x14b
0031d1f0 75b55582 USER32!SendMessageWorker+0x4d0
0031d210 7480bdb2 USER32!SendMessageW+0x7c
0031d2ac 7480be02 COMCTL32!CCSendNotify+0x7b8
0031d2e8 76cb7bdc COMCTL32!SendNotify+0x36
0031d440 76cb9b7e COMDLG32!SendOFNotify+0x7c
0031d468 76c8e35e COMDLG32!CLegacyEvents::OnSelectionChange+0x38
0031d478 7479e550 COMDLG32!CFileOpenSave::_NotifySelectionChangeCallback+0x15
0031d490 76c8e33c COMCTL32!DPA_EnumCallback+0x25
0031d4a4 76c8e44c COMDLG32!CFileOpenSave::_NotifySelectionChange+0x25
0031d70c 75b5c4e7 COMDLG32!CFileOpenSave::s_OpenSaveDlgProc+0x7a1
0031d738 75b75b7c USER32!InternalCallWinProc+0x23
0031d7b4 75b759f3 USER32!UserCallDlgProcCheckWow+0x132
0031d7fc 75b75be3 USER32!DefDlgProcWorker+0xa8
0031d818 75b5c4e7 USER32!DefDlgProcW+0x22
0031d844 75b5c5e7 USER32!InternalCallWinProc+0x23
0031d8bc 75b5cc19 USER32!UserCallWinProcCheckWow+0x14b
0031d91c 75b5cc70 USER32!DispatchMessageWorker+0x35e
0031d92c 74811f74 USER32!DispatchMessageW+0xf
